TICKER,COMPANY_NAME
9142,九州旅客鉄道
9143,ＳＧホールディングス
9163,(株)ナレルグループ
9166,(株)ＧＥＮＤＡ
9201,日本航空
9202,ＡＮＡホールディングス
9204,スカイマーク
9206,(株)スターフライヤー
9223,(株)ＡＳＮＯＶＡ
9259,(株)タカヨシホールディングス
9262,(株)シルバーライフ
9263,
9266,
9275,
9279,(株)ギフトホールディングス
9327,(株)イー・ロジット
9375,
9412,(株)スカパーＪＳＡＴホールディングス
9513,Ｊ―ＰＯＷＥＲ
9517,イーレックス
9522,
9543,静岡ガス
9601,松竹
9602,東宝
9603,(株)エイチ・アイ・エス
9605,東映
9616,(株)共立メンテナンス
9627,(株)アインホールディングス
9706,日本空港ビルデング
9726,ＫＮＴ―ＣＴホールディングス
9744,(株)メイテックグループホールディングス
9828,(株)Ｇｅｎｋｉ Ｇｌｏｂａｌ Ｄｉｎｉｎｇ Ｃｏｎｃｅｐｔｓ
9830,トラスコ中山
9831,(株)ヤマダホールディングス
9835,(株)ジュンテンドー
9842,アークランズ
9843,(株)ニトリホールディングス
9850,(株)グルメ杵屋
9854,愛眼
9861,(株)吉野家ホールディングス
9873,
9876,(株)コックス
9878,(株)セキド
9887,(株)松屋フーズホールディングス
9900,(株)サガミホールディングス
9904,(株)ベリテ
9945,
9946,ミニストップ
9948,(株)アークス
9962,(株)ミスミグループ本社
9966,
9974,(株)ベルク
9979,(株)大庄
9983,(株)ファーストリテイリング
9989,(株)サンドラッグ
9993,(株)ヤマザワ
9994,(株)やまや
