ticker,field,bc_value,source,reason_summary
2780,全店 売上（百万円）,2504,tdnet,BC値2504あり。月次PDFにセグメント売上のみで全社売上高の記載なし（値検索で未検出）
2792,全店 店舗数,849,non-tdnet(html_table),BC値849あり。月次HTMLに全店・既存店の売上前年比のみ記載。店舗数の数値データなし（出退店テキストのみ。2026年3月度HTML確認済み）
2792,既存店 客単価（前年同月比）,100.3,non-tdnet(html_table),BC値100.3あり。月次HTMLに客単価データなし。売上前年比のみ（HTML確認済み）
2792,既存店 客数（前年同月比）,101.8,non-tdnet(html_table),BC値101.8あり。月次HTMLに客数データなし。売上前年比のみ（HTML確認済み）
2792,直営店 売上（前年同月比）,101.2,non-tdnet(html_table),BC値101.2あり。月次HTMLに直営店の個別データなし。全店・既存店の2区分のみ（HTML確認済み）
2792,直営店 客単価（前年同月比）,100.5,non-tdnet(html_table),BC値100.5あり。直営店データなし（HTML確認済み）
2792,直営店 客数（前年同月比）,100.7,non-tdnet(html_table),BC値100.7あり。直営店データなし（HTML確認済み）
3032,全店 店舗数,77,tdnet,BC値77あり。月次PDFに出退店数の記載はあるが全店舗数合計の数値ポイントなし（2026年3月度PDF pdftotext+値検索で未検出）
3066,全店 店舗数,83,tdnet,BC値83あり。PDF下部に店舗数テーブルあり値も確認(83検出)。pdftotext崩れで直営/FC/合計の行区別が困難。Gemini抽出化で取得可能性あり
3066,外食事業 全店 売上（前年同月比）,104.4,tdnet,BC値104.4あり。PDF内に値確認済み(104.4検出)。pdftotext崩れで行識別困難。Gemini抽出化で取得可能性あり
3066,外食事業 全店 売上（百万円）,522,tdnet,BC値522あり。PDF内に売上百万円データあり(603-722範囲で月次変動)。pdftotext崩れで金額列と前年比列の区別が困難。Gemini抽出化で取得可能性あり
3068,全店 店舗数,97,non-tdnet(pdf),PDF内に値あり(BC値97と一致)。pdftotext崩れで行ラベルなく安定regex抽出困難。Gemini抽出化で取得可能性あり
3086,大丸心斎橋店 取扱高（前年同月比）,100.4,tdnet,BC値100.4あり。PDF内に心斎橋店データあるがadapter設計上は連結合計のみに絞込み。pdftotext崩れ+値検索でも確実な特定困難（100.4は汎用数値）
3086,百貨店事業 客数（前年同月比）,93.5,tdnet,BC値93.5あり。連結売上収益報告PDFに客数データの記載なし（2026年3月度PDF pdftotext+値検索で未検出）
3087,ドトール 全店 売上（前年同月比）,97.9,non-tdnet(pdf),BC値97.9あり。月次報告PDFはNRS（日本レストランシステム）のデータのみ。ドトールは別法人で月次開示ソースが異なる
3087,ドトール 全店 客数（前年同月比）,98.1,non-tdnet(pdf),BC値98.1あり。NRS月次報告にドトールデータなし（別法人）
3087,ドトール 既存店 売上（前年同月比）,98.3,non-tdnet(pdf),BC値98.3あり。NRS月次報告にドトールデータなし（別法人）
3087,ドトール 既存店 客数（前年同月比）,98.6,non-tdnet(pdf),BC値98.6あり。NRS月次報告にドトールデータなし（別法人）
3174,既存店 粗利率（前年同月比）,31.2,tdnet,BC値31.2あり。PDF内に粗利率の列あり値も確認(31.2%検出)。ただしPDF値は絶対値（粗利率%）でBC定義名「前年同月比」と形式不一致。BCも絶対値を前年同月比キーで管理している可能性。既存sectionsパターンへのregex追
3197,全店 売上（前年同月比）,102.0,non-tdnet(pdf),BC値102.0あり。2026年3月度TDnet PDF確認: 全店売上前年比データあり(102.3%検出=BC値近似)。ただしadapterは非TDnet旧フォーマット(既存店regex)のみ対応。TDnet版IRレポートのレイアウトが異
3197,全店 店舗数,3047,non-tdnet(pdf),"BC値3047あり。2026年3月度TDnet PDF確認: 店舗数データあり(3,090検出=時期差)。adapterは非TDnet旧フォーマット対応のためTDnet版レイアウトに未対応。Gemini抽出化で取得可能性あり"
3358,全店(Yappa除く) 売上（前年同月比）,101.8,tdnet,BC値101.8あり。PDFに「Yappa除く」の集計行なし(2026年3月度PDF値検索で未検出)。連結売上とラーメン部門売上はあるがYappa除外合計は記載なし。BC独自算出の可能性
3358,全店(Yappa除く) 客単価（前年同月比）,105.1,tdnet,BC値105.1あり。PDFにYappa除く集計行なし(値検索で未検出)。BC独自算出の可能性
3358,全店(Yappa除く) 客数（前年同月比）,114.6,tdnet,BC値114.6あり。PDFにYappa除く集計行なし(値検索で未検出)。BC独自算出の可能性
3395,全店 店舗数,875,non-tdnet(pdf),BC値875あり。月次売上情報PDFに売上前年比データのみ。店舗数の記載なし（2026年3月度PDF確認済み。非TDnetソースのためGCS未格納、要別途確認）
3397,全店 店舗数,2103,download,Excel「店舗数」シートcol13に値あり(BC値2103と一致)。ただし現行エンジンは単一sheet_nameのみ対応のため別シートから抽出不可
3415,既存店 EC 売上（前年同月比）,107.5,tdnet,BC値107.5あり。月次売上速報PDFに実店舗/EC別の既存店売上データなし（2026年4月度PDF pdftotext+値検索で未検出）。全社・既存店の合計のみ
3415,既存店 実店舗 売上（前年同月比）,111.8,tdnet,BC値111.8あり。実店舗/EC別の分離データなし（値検索で未検出）
3542,LOWYA旗艦店 売上高（円）,783000000,tdnet,BC値783000000(7.83億円)あり。月次業績PDFにLOWYA事業全体の売上のみ。旗艦店個別の売上データなし（2026年3月度PDF pdftotext+値検索で783/7.83未検出）
3542,LOWYA旗艦店 売上高（前年同月比）,268.7,tdnet,BC値268.7あり。旗艦店個別データなし（値検索で未検出）
