ACTIVIST_NAME,ALIAS
ヴァレックス・パートナーズ,中村 準
ありあけキャピタル,ありあけ1号投資事業有限責任組合
ありあけキャピタル,ありあけ2号投資事業有限責任組合
ありあけキャピタル,幸田 博人
UGSアセットマネジメント,UGS-GSP１号投資事業有限責任組合
UGSアセットマネジメント,ＵＧＳ－ＣＣＦ１号投資事業有限責任組合
UGSアセットマネジメント,UGS-SHC１号投資事業有限責任組合
UGSアセットマネジメント,植田 修平
いちごアセットマネジメント,Ichigo Asset Management International Pte. Ltd.
いちごアセットマネジメント,いちごアセットマネジメント・インターナショナル・ピーティーイー・リミテッド
いちごアセットマネジメント,Ichigo Trust Pte. Ltd.
いちごアセットマネジメント,いちごトラスト・ピーティーイー・リミテッド
いちごアセットマネジメント,いちご株式会社
いちごアセットマネジメント,Scott Callon
いちごアセットマネジメント,スコット キャロン
牧寛之（メルコグループ）,株式会社メルコグループ
牧寛之（メルコグループ）,株式会社メルコホールディングス
牧寛之（メルコグループ）,株式会社バッファロー
牧寛之（メルコグループ）,株式会社アドバンスト・デバイステクノロジー
牧寛之（メルコグループ）,株式会社メルコプロサーブ
牧寛之（メルコグループ）,株式会社CFD販売
牧寛之（メルコグループ）,牧 ゆり子
シティインデックスイレブンス,株式会社C&Iホールディングス
シティインデックスイレブンス,株式会社南青山不動産
シティインデックスイレブンス,株式会社オフィスサポート
シティインデックスイレブンス,合同会社リビルド
シティインデックスイレブンス,合同会社エスグラントコーポレーション
シティインデックスイレブンス,合同会社AT-1
シティインデックスイレブンス,合同会社AT-2
シティインデックスイレブンス,村上世彰
シティインデックスイレブンス,村上絢
南青山不動産,神田正
HI2,株式会社HI2パートナーズ
HI2,"HI2 Partners Co., Ltd."
HI2,エイチアイツー パートナーズ シーオー エルティーディー
HI2,HI2投資事業有限責任組合
HI2,中神 康議
エフィッシモ,ECM MASTER FUND
エフィッシモ,イーシーエム・マスター・ファンド
エフィッシモ,今井 陽一郎
エフィッシモ,高坂 卓志
エフィッシモ,佐藤 友美
ストラテジックキャピタル,SCM-Japan GrowthⅠ投資事業有限責任組合
ストラテジックキャピタル,丸木 強
ストラテジックキャピタル,北野 真弘
ストラテジックキャピタル,菊地 翔
ストラテジックキャピタル,西村 雅也
光通信,重田 康光
光通信,重田 光時
光通信,重田 圭美
光通信,株式会社UH Partners
光通信,"UH Partners Co., Ltd."
光通信,株式会社UH Partners Two
光通信,"UH Partners Two Co., Ltd."
光通信,株式会社UH Partners Three
光通信,"UH Partners Three Co., Ltd."
光通信,株式会社UH Partners Four
光通信,"UH Partners Four Co., Ltd."
光通信,株式会社UH Partners Five
光通信,"UH Partners Five Co., Ltd."
光通信,株式会社UH Partners Six
光通信,"UH Partners Six Co., Ltd."
光通信,株式会社I's
光通信,"I's Co., Ltd."
光通信,株式会社HIROKEN
光通信,"HIROKEN Co., Ltd."
光通信,株式会社H&F
光通信,"H&F Co., Ltd."
光通信,株式会社プレミアムウォーターホールディングス
光通信,"PREMIUM WATER HOLDINGS, INC."
Yamauchi-No.10 Family Office,Yamauchi No.10 Family Office
Yamauchi-No.10 Family Office,ヤマウチナンバーテンファミリーオフィス
Yamauchi-No.10 Family Office,山内万丈
Yamauchi-No.10 Family Office,合同会社YFO
Yamauchi-No.10 Family Office,YFO LLC
Yamauchi-No.10 Family Office,Yamauchi No10 Family Office
Yamauchi-No.10 Family Office,Yamauchi-No.10
Yamauchi-No.10 Family Office,WK 1 LIMITED
Yamauchi-No.10 Family Office,WK 2 LIMITED
Yamauchi-No.10 Family Office,WK 3 LIMITED
Yamauchi-No.10 Family Office,WK1 LIMITED
Yamauchi-No.10 Family Office,WK2 LIMITED
Yamauchi-No.10 Family Office,WK3 LIMITED
